id,source_name,item_title,item_url,classification,risk_level,last_seen_at,review_status,priority,reviewer_notes,recommended_action
223,Bank of Zambia Regulatory Documents API,"2022-01-01 | Circulars | CB CIRCULAR NO. 13 OF 2022 - REVIEW OF THE DRAFT NATIONAL PAYMENT SYSTEMS VISION AND STRATEGY 2023 - 2027 | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.13OF2022REVIEWOFTHEDRAFT",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.13OF2022REVIEWOFTHEDRAFTNATIONALPAYMENTSYSTEMSVISIONANDSTRATEGY20232027.pdf,repayment,low,2026-05-09T14:19:25.822410+00:00,reviewed,2,BoZ National Payment Systems Vision and Strategy review signal; useful directionally for 2023-2027 rails roadmap.,"Use as a pointer to locate the full strategy document and extract themes: interoperability, DFS, inclusion, cyber, complaints."
224,Bank of Zambia Regulatory Documents API,"2022-01-01 | Circulars | CB CIRCULAR NO.15 OF 2022 UPDATING OF THE ISO20022 MESSAGE USAGE GUIDELINES FOR THE ZAMBIA INTERBANK PAYMENT AND SETTLEMENT SYSTEM ON SWIFTS MYSTANDARDS PORTAL | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circ",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.15OF2022UPDATINGOFTHEISO20022MESSAGEUSAGEGUIDELINESFORTHEZAMBIAINTERBANKPAYMENTANDSETTLEMENTSYSTEMONSWIFTSMYSTANDARDSPORTAL.pdf,repayment,low,2026-05-09T14:19:25.822410+00:00,rejected,3,"Rejected during BoZ payment-rails curation: duplicate, historical background only, institution-specific item, or lower-priority infrastructure noise for this capability line.",Ignore for weekly notes unless a future deep-dive needs historical rail context.
225,Bank of Zambia Regulatory Documents API,"2022-01-01 | Circulars | CB CIRCULAR NO.16 OF 2022 DUE DILIGENCE ON ENTITIES PARTNERED WITH OR ENGAGED TO PROVIDE PAYMENT SERVICES | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.16OF2022DUEDILIGENCEONEN",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.16OF2022DUEDILIGENCEONENTITIESPARTNEREDWITHORENGAGEDTOPROVIDEPAYMENTSERVICES.pdf,repayment,low,2026-05-09T14:19:25.822410+00:00,reviewed,1,BoZ due diligence signal for entities partnered with or engaged to provide payment services; high relevance to lending partners.,"Translate into a partner-risk research question for mobile money, bank, aggregator, and collection/payment processors."
228,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | CB CIRCULAR NO. 05 OF 2021 AMENDMENTS TO THE ZIPSS OPERATIONAL RULES | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO05OF2021AMENDMENTSTOTHEZIPSSOPERATIONALRULES.pdf",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO05OF2021AMENDMENTSTOTHEZIPSSOPERATIONALRULES.pdf,regulatory,low,2026-05-09T14:19:25.822410+00:00,rejected,3,"Rejected during BoZ payment-rails curation: duplicate, historical background only, institution-specific item, or lower-priority infrastructure noise for this capability line.",Ignore for weekly notes unless a future deep-dive needs historical rail context.
229,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | Revised ZIPSS rules April 2021 | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/RevisedZIPSSrulesApril2021.pdf",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/RevisedZIPSSrulesApril2021.pdf,regulatory,low,2026-05-09T14:19:25.822410+00:00,rejected,3,"Rejected during BoZ payment-rails curation: duplicate, historical background only, institution-specific item, or lower-priority infrastructure noise for this capability line.",Ignore for weekly notes unless a future deep-dive needs historical rail context.
230,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | ZIPSS Rules Amendments | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/ZIPSSRulesAmendments.pdf",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/ZIPSSRulesAmendments.pdf,regulatory,low,2026-05-09T14:19:25.822410+00:00,rejected,3,"Rejected during BoZ payment-rails curation: duplicate, historical background only, institution-specific item, or lower-priority infrastructure noise for this capability line.",Ignore for weekly notes unless a future deep-dive needs historical rail context.
231,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | CB CIRCULAR NO. 11 OF 2021: DEPLOYMENT OF ARTIFICIAL INTELLIGENCE IN FINANCIAL CONSUMER COMPLAINTS | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO11OF2021DEPLOYMENTOFARTIFICIALIN",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO11OF2021DEPLOYMENTOFARTIFICIALINTELLIGENCEINFINANCIALCONSUMERCOMPLAINTS.pdf,complaint,medium,2026-05-09T14:19:25.822410+00:00,rejected,2,"Rejected during BoZ payment-rails curation: duplicate, historical background only, institution-specific item, or lower-priority infrastructure noise for this capability line.",Ignore for weekly notes unless a future deep-dive needs historical rail context.
232,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | CB CIRCULAR NO. 14 OF 2021 - DEPLOYMENT OF ARTIFICIAL INTELLIGENCE IN FINANCIAL CONSUMER COMPLAINTS - CONSUMER COMPLAINTS DATA | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO14OF",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO14OF2021ONDEPLOYMENTOFARTIFICIALINTELLIGENCEINFINANCIALCONSUMERCOMPLAINTSCONSUMERCOMPLAINTSDATA.pdf,complaint,medium,2026-05-09T14:19:25.822410+00:00,rejected,2,"Rejected during BoZ payment-rails curation: duplicate, historical background only, institution-specific item, or lower-priority infrastructure noise for this capability line.",Ignore for weekly notes unless a future deep-dive needs historical rail context.
234,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | CB CIRCULAR NO. 19 OF 2021 - POST IMPLEMENTATION ISSUES ON THE NATIONAL FINANCIAL SWITCH | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO.19OF2021POSTIMPLEMENTATIONISSUESONTHENATI",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO.19OF2021POSTIMPLEMENTATIONISSUESONTHENATIONALFINANCIALSWITCH.pdf,regulatory,low,2026-05-09T14:19:25.822410+00:00,reviewed,2,National Financial Switch post-implementation issues signal; relevant to interoperability and operational friction.,"Watch for repeated NFS issues that could affect failed transactions, reversals, and customer support load."
236,Bank of Zambia Regulatory Documents API,"2020-01-01 | Circulars | CB CIRCULAR NO. 07 OF 2020 - REVISION OF THE ZIPSS FEES | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2020/CBCIRCULARNO07OF2020REVISIONOFTHEZIPSSFEES.pdf",https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2020/CBCIRCULARNO07OF2020REVISIONOFTHEZIPSSFEES.pdf,fees,medium,2026-05-09T14:19:25.822410+00:00,reviewed,2,ZIPSS fees revision signal; payment-rail cost context rather than direct customer-pricing conclusion.,Track as cost-stack input; separate rail fees from borrower-facing fees.
237,Bank of Zambia Regulatory Documents API,"2020-01-01 | Circulars | Prohibition Against Unwarranted Charges and Fees and Regulations of Specific Charges Directives 2020 | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/DirectivesProhibitionAgainstUnwarrantedChargesandFeesandRegulat",https://www.boz.zm/sites/default/files/migrated/financial-stability/DirectivesProhibitionAgainstUnwarrantedChargesandFeesandRegulationsofSpecificChargesDirectives2020.pdf,fees,medium,2026-05-09T14:19:25.822410+00:00,reviewed,1,Unwarranted charges and specific charges directives signal; strong bridge to fees/disclosure in lending ops.,"Map public fee controls to lending product fee disclosure, penalty-fee language, and customer complaint triggers."
