signal_id,source_id,source_name,signal,classification,risk_level,review_status,priority,source_link,source_credibility_score,lending_relevance_score,manual_review_need_score,brief_candidate_score,quality_tier_cn,quality_tier_en,recommended_use_cn,recommended_use_en,quality_reason_cn,quality_reason_en
1,zicta_dfs_incident_home,ZICTA DFS Incident Reporting System,DFS Incident Reporting System lists mobile payment fraud and incomplete transaction as reportable public categories,complaint,high,reviewed,1,https://dfscomplaints.zicta.zm/,92,97,80,95,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程；需要优先人工回源；高风险标签,official or high-trust public source; directly affects micro-lending operations; needs priority source review; high-risk label
24,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"In particular, businesses are required to clearly communicate key terms relating to their services, including operating hours, conditions for access, pricing, and any limitations that may reasonably affect a consumer’s decision to engage with the service. Where such information is provided, it shoul",fees,high,reviewed,1,https://www.ccpc.org.zm/#item-104,92,97,80,95,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程；需要优先人工回源；高风险标签,official or high-trust public source; directly affects micro-lending operations; needs priority source review; high-risk label
185,data_protection_commission_home,Data Protection Commission Zambia,"Data Protection Enforcement: Ensure the effective enforcement of data protection laws in Zambia, safeguarding the privacy rights of individuals",privacy,high,reviewed,1,https://www.dataprotection.gov.zm/#item-77,92,92,80,93,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程；需要优先人工回源；高风险标签,official or high-trust public source; directly affects micro-lending operations; needs priority source review; high-risk label
187,data_protection_commission_home,Data Protection Commission Zambia,"Public Education: Educate individuals and organizations about data protection rights and responsibilities, fostering a culture of privacy awareness",privacy,high,reviewed,1,https://www.dataprotection.gov.zm/#item-79,92,92,80,93,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程；需要优先人工回源；高风险标签,official or high-trust public source; directly affects micro-lending operations; needs priority source review; high-risk label
2,data_protection_commission_home,Data Protection Commission Zambia,Data Protection Commission public page highlights data-subject rights and responsible personal-data handling,privacy,high,reviewed,1,https://www.dataprotection.gov.zm/,92,92,80,93,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程；需要优先人工回源；高风险标签,official or high-trust public source; directly affects micro-lending operations; needs priority source review; high-risk label
416,competitor_powerkwacha_home,Competitor Watch - PowerKwacha Home,Privacy Agreement Privacy Agreement,privacy,high,reviewed,1,https://powerkwacha.app/agreement/privacy,76,88,100,91,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源；高风险标签,public competitor or market source; directly affects micro-lending operations; needs priority source review; high-risk label
433,competitor_floan_home,Competitor Watch - FLoan Home,"The app supports flexible loan amounts and defined repayment options. Loan approval and disbursement are subject to eligibility checks and successful verification, with all terms and fees clearly disclosed to users. The app supports flexible loan amounts and defined repayment options. Loan approval ",fees,medium,reviewed,1,https://www.floan.co/#item-50,76,100,98,91,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
200,boz_customer_complaints_directives,Bank of Zambia Customer Complaints Handling and Resolution Directives,BoZ Customer Complaints Handling and Resolution Directives (metadata-only PDF; manual read/OCR needed),complaint,medium,reviewed,1,https://www.boz.zm/sites/default/files/migrated/financial-stability/BankofZambiaCustomerComplaintsHandlingandResolutionDirectives1.pdf#page=1-item-1,92,99,70,89,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
237,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2020-01-01 | Circulars | Prohibition Against Unwarranted Charges and Fees and Regulations of Specific Charges Directives 2020 | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/DirectivesProhibitionAgainstUnwarrantedChargesandFeesandRegulat",fees,medium,reviewed,1,https://www.boz.zm/sites/default/files/migrated/financial-stability/DirectivesProhibitionAgainstUnwarrantedChargesandFeesandRegulationsofSpecificChargesDirectives2020.pdf,92,100,70,89,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
424,competitor_floan_home,Competitor Watch - FLoan Home,"Support for mobile payments and installment-based repayment, with clear schedules and terms.",fees,medium,reviewed,1,https://www.floan.co/#item-31,76,95,92,87,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
236,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2020-01-01 | Circulars | CB CIRCULAR NO. 07 OF 2020 - REVISION OF THE ZIPSS FEES | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2020/CBCIRCULARNO07OF2020REVISIONOFTHEZIPSSFEES.pdf",fees,medium,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2020/CBCIRCULARNO07OF2020REVISIONOFTHEZIPSSFEES.pdf,92,100,61,87,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
220,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2023-01-01 | Circulars | CB CIRCULAR NO. 34 OF 2023 - DEPLOYMENT OF ARTIFICIAL INTELLIGENCE IN FINANCIAL COMPLAINT HANDLING - INTEGRATION AND REFRESHER TRAINING IN USER ACCEPTANCE TESTING | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/c",complaint,medium,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2023/CBCIRCULARNO.34OF2023DEPLOYMENTOFARTIFICIALINTELLIGENCEINFINANCIALCOMPLAINTHANDLINGINTEGRATIONANDREFRESHERTRAININGINUSERACCEPTANCETESTING.pdf,92,97,61,86,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
30,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"Sensitisation activities were also conducted across the country. In Solwezi, CCPC partnered with the Pensions and Insurance Authority to hold a consumer rights sensitisation at Mitech Market featuring dance, sketches, and one-on-one engagements. In Kasama, learners from Kasama Boys Secondary School ",repayment,medium,reviewed,2,https://www.ccpc.org.zm/#item-114,92,95,61,85,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
394,competitor_premiercredit_home,Competitor Watch - PremierCredit Home,"Thanks to our partnerships with Mobile Money Providers and banks, transferring money, paying bills, and keeping track of your payment activities are now just a touch away.",disbursement,low,reviewed,1,https://www.premiercredit.co.zm/#item-111,76,100,82,84,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
405,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,Your mobile money account,disbursement,low,reviewed,1,https://www.premiercredit.co.zm/borrow/#item-67,76,99,82,84,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
